frame,fps_frame,n_dets,n_fused,n_tracks,n_drawn,n_voronoi_points,n_hold_points,dup_pairs,id_switches_cum
485,1.115,20,20,20,10,11,1,0,302
486,1.083,21,21,21,10,11,1,0,304
487,1.143,21,21,21,10,11,1,0,306
488,1.116,21,21,21,10,11,1,0,308
489,1.126,22,22,22,11,11,0,0,311
490,1.096,23,23,23,11,11,0,0,313
491,1.101,22,22,22,10,11,1,0,315
492,1.084,22,22,22,10,11,1,0,317
493,1.088,23,23,23,11,11,0,0,319
494,1.052,23,23,23,11,11,0,0,321
495,1.116,23,23,23,11,11,0,0,323
496,1.061,24,24,24,11,11,0,0,325
497,1.073,24,24,24,11,11,0,0,327
498,1.118,22,22,22,11,11,0,0,329
499,1.078,22,21,21,11,11,0,0,330
500,1.142,21,19,19,11,11,0,0,330
501,1.102,23,20,20,11,11,0,0,330
502,1.109,23,20,20,11,11,0,0,330
503,1.119,22,20,20,11,11,0,0,330
504,1.134,21,20,20,11,11,0,0,330
505,1.1,21,19,19,11,11,0,0,330
506,1.117,22,19,19,11,11,0,0,330
507,1.13,21,19,19,11,11,0,0,330
508,1.095,21,19,19,11,11,0,0,330
509,1.148,21,19,19,11,11,0,0,330
510,1.115,21,20,20,11,11,0,0,330
511,1.123,22,20,20,11,11,0,0,330
512,1.115,22,20,20,11,11,0,0,330
513,1.126,22,21,21,11,11,0,0,330
514,1.072,22,20,20,11,11,0,0,330
515,1.135,22,21,21,11,11,0,0,330
516,1.11,21,20,20,11,11,0,0,330
517,1.133,20,19,19,11,11,0,0,330
518,1.143,21,20,20,11,11,0,0,330
519,1.096,21,20,20,11,11,0,0,330
520,1.014,22,20,20,11,11,0,0,330
521,1.129,22,19,19,11,11,0,0,330
522,1.121,22,20,20,11,11,0,0,330
523,1.114,23,21,21,11,11,0,0,330
524,1.12,22,20,20,11,11,0,0,330
525,1.095,22,20,20,11,11,0,0,330
526,1.033,26,22,22,11,11,0,0,330
527,1.031,25,22,22,11,11,0,0,330
528,1.114,23,22,22,11,11,0,0,330
529,1.115,23,21,21,11,11,0,0,330
530,1.102,23,21,21,11,11,0,0,330
531,1.094,23,22,22,11,11,0,0,330
532,1.128,22,20,20,11,11,0,0,330
533,1.12,22,20,20,11,11,0,0,330
534,1.115,22,20,20,11,11,0,0,330
535,1.076,22,21,21,11,11,0,0,330
536,1.067,22,21,21,11,11,0,0,330
537,1.07,22,20,20,11,11,0,0,330
538,1.099,23,22,22,11,11,0,0,330
539,1.096,23,22,22,11,11,0,0,330
540,1.092,23,22,22,11,11,0,0,330
541,1.087,23,23,23,11,11,0,0,330
542,1.105,22,21,21,11,11,0,0,330
543,1.079,22,21,21,11,11,0,0,330
544,1.115,21,21,21,11,11,0,0,330
545,1.147,22,22,22,11,11,0,0,330
546,1.129,22,22,22,11,11,0,0,330
547,1.108,22,22,22,11,11,0,0,330
548,1.121,22,22,22,11,11,0,0,330
549,1.128,21,20,20,10,11,1,0,330
550,1.171,20,18,18,10,11,1,0,330
551,1.152,21,19,19,10,11,1,0,330
552,1.054,22,21,21,10,11,1,0,330
553,1.038,22,22,22,10,11,1,0,330
554,1.043,22,21,21,10,11,1,0,330
555,1.06,23,22,22,11,11,0,0,330
556,1.039,23,22,22,11,11,0,0,330
557,1.091,23,22,22,11,11,0,0,330
558,1.106,22,21,21,11,11,0,0,330
559,1.056,22,20,20,11,11,0,0,330
560,1.133,21,19,19,11,11,0,0,330
561,1.11,21,19,19,11,11,0,0,330
562,1.138,21,20,20,11,11,0,0,330
563,1.133,21,20,20,11,11,0,0,330
564,1.14,21,20,20,11,11,0,0,330
565,1.111,21,21,21,11,11,0,0,330
566,1.125,21,21,21,11,11,0,0,330
567,1.132,20,20,20,10,11,1,0,330
568,1.155,21,21,21,10,11,1,0,330
569,1.14,21,21,21,9,11,2,0,330
570,1.089,21,21,21,9,11,2,0,330
571,1.153,21,20,20,10,11,1,0,330
572,1.14,21,20,20,10,11,1,0,330
573,1.143,21,19,19,10,11,1,0,330
574,1.112,22,19,19,10,11,1,0,330
575,1.074,22,20,20,10,11,1,0,330
576,1.079,22,20,20,10,11,1,0,330
577,1.116,22,20,20,9,11,2,0,330
578,1.078,22,21,21,9,11,2,0,330
579,1.106,21,20,20,10,11,1,0,330
580,1.117,21,21,21,10,11,1,0,330
581,1.131,21,21,21,10,11,1,0,330
582,1.05,21,20,20,10,11,1,0,330
583,1.109,21,21,21,10,11,1,0,330
584,1.083,23,22,22,10,11,1,0,330
585,1.08,23,22,22,10,11,1,0,330
586,1.076,23,21,21,10,11,1,0,330
587,1.077,22,21,21,10,11,1,0,330
588,1.057,23,21,21,10,11,1,0,330
589,1.135,21,20,20,10,11,1,0,330
590,1.123,22,22,22,10,11,1,0,330
591,1.107,22,22,22,10,11,1,0,330
592,1.142,22,22,22,10,11,1,0,330
593,1.112,22,22,22,10,11,1,0,330
594,1.138,22,22,22,10,11,1,0,330
595,1.106,22,22,22,10,11,1,0,330
596,1.132,21,20,20,10,11,1,0,330
597,1.128,21,21,21,10,11,1,0,330
598,1.133,22,22,22,10,11,1,0,330
599,1.073,22,22,22,10,11,1,0,330
600,1.103,22,21,21,10,11,1,0,330
601,1.136,21,20,20,9,11,2,0,330
602,1.061,21,20,20,9,11,2,0,330
603,1.136,21,20,20,9,11,2,0,330
604,1.109,22,21,21,9,11,2,0,330
605,1.115,22,21,21,10,11,1,0,330
606,1.128,22,21,21,10,11,1,0,330
607,1.101,22,21,21,10,11,1,0,330
608,1.124,22,22,22,10,11,1,0,330
609,1.107,22,22,22,10,11,1,0,330
610,1.085,22,22,22,10,11,1,0,330
611,1.099,22,22,22,10,11,1,0,330
612,1.12,22,22,22,11,11,0,0,331
613,1.141,21,21,21,11,11,0,0,331
614,1.12,21,21,21,11,11,0,0,331
615,1.162,21,21,21,11,11,0,0,331
616,1.11,21,21,21,11,11,0,0,331
617,1.149,20,20,20,10,11,1,0,331
618,1.123,20,19,19,10,11,1,0,331
